© 2000-2024 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Cytosolic sensors of pathogen-associated DNA	3.47E00	2.39E-01	-2.111	AIM2,CHUK,CTNNB1,DDX41,LRRFIP1,MRE11,NFKB2,RELA,RIPK1,TBK1,TICAM1	
Role of RIG1-like Receptors in Antiviral Innate Immunity	3.47E00	2.39E-01	-2.530	CASP10,CASP8,CHUK,FADD,NFKB2,NFKBIE,RELA,RIPK1,TBK1,TRAF3,TRIM25	
LPS-stimulated MAPK Signaling	3.47E00	1.88E-01	-2.500	ATF2,CDC42,CHUK,MAP2K2,MAPK14,MAPK3,NFKB2,NFKBIE,NRAS,PIK3R3,PIK3R5,PRKCI,RAF1,RAP1A,RELA,SRF	
Role of JAK1 and JAK3 in γc Cytokine Signaling	3.45E00	2.03E-01	-3.207	FES,GRB2,JAK3,MAPK3,NRAS,PIK3R3,PIK3R5,PTPN11,RAP1A,SHC1,STAT3,STAT5A,STAT5B,SYK	
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	3.44E00	1.81E-01	-3.153	ACTA2,AKT1,ARPC5L,CDC42,CRK,FGR,HCK,HMOX1,LCP2,MAPK3,NCF1,PIK3R3,PRKCI,RPS6KB2,SYK,VAV1,VAV3	
Cachexia Signaling Pathway	3.44E00	1.22E-01	-4.621	ADCY3,AKT1,CASP10,CASP5,CASP7,CASP8,CCL2,CHUK,CRP,EIF1,EIF2B1,FASLG,FGA,FGG,GSK3A,HSPA1A/HSPA1B,HSPA6,IL1R1,LCN2,MAPK14,MAPK3,NFKB2,P4HB,PIK3R3,PIK3R5,PRKACA,PRKCI,PSMA5,PSMB10,PSMB4,PSMB5,PSMC3,PSMC4,PSMC5,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD4,PSMD5,STAT3,STAT5A,STAT5B,TGFB2	
Mismatch Repair	3.4E00	4E-01	-2.449	EXO1,MLH1,MSH6,POLD1,POLD2,POLD3	
Renin-Angiotensin Signaling	3.39E00	1.65E-01	-2.828	ADCY3,ATF2,CCL2,GRB2,MAP2K2,MAPK14,MAPK3,NFKB2,NRAS,PIK3R3,PIK3R5,PRKACA,PRKCI,PTPN6,RAF1,RAP1A,RELA,SHC1,SOS2,STAT3	
MAPK targets/ Nuclear events mediated by MAP kinases	3.39E00	2.73E-01	-1.667	ATF2,DUSP7,MAPK14,MAPK3,PPP2CA,PPP2R5D,RPS6KA1,RPS6KA2,RPS6KA5	
Ovarian Cancer Signaling	3.38E00	1.52E-01	-1.604	ABL1,AKT1,BRAF,CDK4,CTNNB1,E2F2,E2F4,GJA1,HDAC4,HDAC7,MAP2K2,MAPK3,MLH1,MSH6,NRAS,PIK3R3,PIK3R5,PRKACA,RAF1,RAP1A,RBL1,RPS6KB2,TFDP1,VEGFC	
HIPPO signaling	3.35E00	1.84E-01	0.816	CSNK1D,CUL1,ITCH,NF2,PPP1R10,PPP1R14A,PPP1R14B,PPP2CA,PPP2R2A,PPP2R2D,PPP2R5D,PPP2R5E,SKP1,SKP2,SMAD5,YWHAG	
IL-3 Signaling	3.33E00	1.9E-01	-2.840	AKT1,GRB2,MAP2K2,MAPK3,NRAS,PIK3R3,PIK3R5,PRKCI,PTPN6,RAF1,RAP1A,SHC1,STAT3,STAT5A,STAT5B	
XBP1(S) activates chaperone genes	3.3E00	2.29E-01	-0.302	ACADVL,DCTN1,DNAJC3,GFPT1,GSK3A,PDIA5,PREB,SEC31A,SERP1,SHC1,SSR1	
Germ Cell-Sertoli Cell Junction Signaling	3.28E00	1.47E-01	NaN	ACTA2,ACTN4,AKT1,CDC42,CTNNB1,EPN1,ITGA6,KEAP1,LIMK1,MAP2K2,MAP3K11,MAP3K3,MAPK14,MAPK3,NRAS,PIK3R3,PIK3R5,RAP1A,RHOB,RHOQ,RHOT1,TGFB2,TUBA1B,TUBG1,WASL	
HIF1α Signaling	3.28E00	1.39E-01	-1.134	AKT1,APEX1,BRAF,COPS5,EGLN1,EIF4E,EIF4EBP1,ELOC,GPI,HK3,HMOX1,HSPA1A/HSPA1B,HSPA6,MAP2K2,MAP2K5,MAPK3,MKNK1,NCF1,NRAS,PIK3R3,PIK3R5,PRKCI,RAF1,RAN,RAP1A,RPS6KB2,STAT3,TGFB2,VEGFC	
Cellular response to heat stress	3.27E00	1.75E-01	-2.309	ATM,BAG4,DNAJC2,DNAJC7,FKBP4,HSPA1A/HSPA1B,HSPA6,HSPH1,MAPK3,MLST8,MRPL18,NUP43,NUP54,NUP58,NUP93,RPS19BP1,TPR	
SUMOylation of chromatin organization proteins	3.27E00	2.14E-01	-0.577	CBX4,HDAC4,NUP43,NUP54,NUP58,NUP93,PHC2,PIAS1,SUMO2,SUZ12,TPR,UBE2I	
Glioblastoma Multiforme Signaling	3.24E00	1.46E-01	-1.606	AKT1,CCNE1,CCNE2,CDC42,CDK4,CTNNB1,E2F2,E2F4,E2F8,GRB2,MAP2K2,MAPK3,NF2,NRAS,PDIA3,PIK3R3,PIK3R5,PLCD3,RAF1,RAP1A,RHOB,RHOQ,RHOT1,SHC1,SOS2	
Nuclear Cytoskeleton Signaling Pathway	3.24E00	1.36E-01	-2.556	ACTA2,ACTR1A,ATM,CAPZA2,CSNK2A2,CSNK2B,CTNNB1,CUL1,DCTN1,DCTN4,DCTN5,FGR,HCK,ITGA6,KIF1C,KIF20B,KIF23,KIF2C,LMNB2,NFKB2,NUP43,NUP54,NUP58,NUP93,SKP1,SKP2,SRF,SYNE1,TPR,TUBA1B	
Prolactin receptor signaling	3.23E00	3.75E-01	-1.342	CUL1,PTPN11,SKP1,SKP2,STAT5A,STAT5B	
Caspase activation via Death Receptors in the presence of ligand	3.23E00	3.75E-01	-2.449	CASP8,FADD,FASLG,RIPK1,TICAM1,TRADD	
PFKFB4 Signaling Pathway	3.22E00	2.24E-01	-0.302	ATF2,CREB3,GPI,HK3,MAP2K2,MAP2K5,MAPK3,PFKFB4,PRKACA,RPS6KA5,TGFB2	
UVA-Induced MAPK Signaling	3.22E00	1.73E-01	-1.508	ATM,CYCS,MAPK14,MAPK3,NRAS,PARP10,PARP14,PARP4,PDIA3,PIK3R3,PIK3R5,PLCD3,RAP1A,RPS6KA1,RPS6KA2,RPS6KA5,RPS6KB2	
MTOR signalling	3.22E00	2.86E-01	-1.414	AKT1,EIF4E,EIF4EBP1,EIF4G1,FKBP1A,LAMTOR3,MLST8,RRAGA	
Signaling by FGFR2	3.19E00	1.92E-01	-3.207	BRAF,GRB2,GTF2F1,HNRNPF,MAPK3,MKNK1,NCBP2,NRAS,POLR2C,POLR2F,PPP2CA,PTBP1,PTPN11,SHC1	
CD27 Signaling in Lymphocytes	3.19E00	2.11E-01	-1.265	APAF1,CASP8,CHUK,CYC1,CYCS,MAP2K2,MAP2K5,MAP3K11,MAP3K3,NFKB2,NFKBIE,RELA	
IL-9 Signaling	3.18E00	2.57E-01	-2.828	CISH,JAK3,NFKB2,PIK3R3,PIK3R5,RELA,STAT3,STAT5A,STAT5B	
Ceramide Signaling	3.13E00	1.76E-01	-0.832	AKT1,CYCS,MAPK3,NFKB2,NRAS,NSMAF,PIK3R3,PIK3R5,PPP2CA,PPP2R2A,PPP2R2D,PPP2R5D,PPP2R5E,RAF1,RAP1A,RELA	
Role of PKR in Interferon Induction and Antiviral Response	3.13E00	1.54E-01	-1.886	APAF1,ATF2,BAX,CASP5,CASP8,CHUK,CYC1,CYCS,DNAJC3,FADD,FASLG,HSPA1A/HSPA1B,HSPA6,MAPK14,MAPK3,NFKB2,NFKBIE,RELA,SP1,STAT3,TRAF3	
Endocannabinoid Developing Neuron Pathway	3.12E00	1.57E-01	-2.357	ADCY3,AKT1,ATF2,BRAF,CREB3,CTNNB1,GNAI2,GNB4,MAP2K2,MAP2K5,MAPK14,MAPK3,MLST8,NRAS,PIK3R3,PIK3R5,PRKACA,RAF1,RAP1A,STAT3	
Insulin Secretion Signaling Pathway	3.11E00	1.27E-01	-1.915	ADCY3,ATF2,CACNB1,CREB3,EIF1,EIF2B1,EIF4A3,EIF4E,EIF4EBP1,EIF4G1,ELP5,FGR,GOSR1,HCK,JAK3,MAPK14,MAPK3,PDIA3,PIK3R3,PIK3R5,PLCD3,PRKACA,PRKCI,RAP1A,RPS6KA5,RPS6KB2,SEC11A,SRP19,SRP68,SSR1,SSR3,STAT3,STAT5A,STAT5B,YKT6	
PPARα/RXRα Activation	3.11E00	1.39E-01	0.853	ACAA1,ADCY3,AIP,AP2A2,APOA2,CAND1,CHUK,GRB2,IL1R1,MAP2K2,MAPK14,MAPK3,MED1,NFKB2,NFKBIE,NRAS,PDIA3,PLCD3,PRKACA,RAF1,RAP1A,RELA,RXRA,SHC1,SOS2,STAT5B,TGFB2	
Fc Epsilon RI Signaling	3.11E00	1.61E-01	-2.065	AKT1,FCER1G,GRB2,LAT,LCP2,MAP2K2,MAPK14,MAPK3,NRAS,PIK3R3,PIK3R5,PRKCI,PTPN11,RAF1,RAP1A,SOS2,SYK,VAV1,VAV3	
STAT5 Activation	3.1E00	5.71E-01	-2.000	GRB2,PTPN11,STAT5A,STAT5B	
Interferon Signaling	3.09E00	2.5E-01	-1.667	BAK1,BAX,IFI35,MX1,OAS1,PIAS1,PTPN2,RELA,TAP1	
Glucocorticoid Receptor Signaling	3.08E00	1.08E-01	NaN	AKT1,ARG2,ATP5F1A,ATP5F1E,CCL2,CEBPA,CHUK,CYC1,ERCC2,FGG,FKBP4,FKBP5,GABPB1,GJA1,GRB2,GTF2A2,GTF2F1,H3-3A/H3-3B,HSPA1A/HSPA1B,HSPA6,IL1R1,JAK3,KRT23,MAP2K2,MAPK14,MAPK3,MED1,NDUFA13,NDUFA2,NDUFA8,NDUFAB1,NDUFB10,NDUFB3,NDUFB7,NDUFB8,NDUFS3,NDUFS7,NDUFS8,NDUFV3,NFKB2,NFKBIE,NRAS,PIK3R3,PIK3R5,POLR2C,POLR2F,PRKACA,RAF1,RAP1A,RELA,RPS6KA5,RXRA,SDHC,SHC1,SMARCA4,SMARCD1,SOS2,STAT3,STAT5A,STAT5B,TAF7,TGFB2,UBE2I	
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	3.06E00	2.16E-01	1.000	ABL1,ATM,CKS2,CUL1,GADD45A,PKMYT1,PPM1D,RPS6KA1,SKP1,SKP2,YWHAG	
CD40 Signaling	3.05E00	1.94E-01	-2.496	CHUK,JAK3,MAP2K2,MAP2K5,MAPK14,MAPK3,NFKB2,NFKBIE,PIK3R3,PIK3R5,RELA,STAT3,TRAF3	
Polyamine Regulation in Colon Cancer	3.05E00	2.03E-01	-1.732	AKT1,AZIN1,BRAF,CSNK2A2,CSNK2B,CTNNB1,MAP2K2,MAP2K5,MAPK3,MLST8,RAF1,SRM	
Hepatic Fibrosis Signaling Pathway	3.03E00	1.15E-01	-2.343	ACTA2,AKT1,ATF2,BRAF,CACNB1,CCL2,CDC42,CHUK,CREB3,CSNK1A1,CSNK1D,CSNK1G1,CSNK1G3,CTNNB1,DVL3,EZH2,GNAI2,IL1R1,ITGA6,MAP2K2,MAP2K5,MAPK14,MAPK3,MYL6B,NCF1,NFKB2,NFKBIE,NRAS,PIK3R3,PIK3R5,PRKACA,PRKCI,RAF1,RAP1A,RELA,RHOB,RHOQ,RHOT1,RIPK1,RPS6KB2,SDHC,SOS2,SP1,STAT3,TGFB2,TRADD,TRPM7,VEGFC	
Regulation of mRNA stability by proteins that bind AU-rich elements	3.02E00	2.27E-01	-1.265	AKT1,DIS3,EIF4G1,EXOSC4,EXOSC7,HSPA1A/HSPA1B,KHSRP,MAPK14,PARN,XPO1	
COPI-mediated anterograde transport	3.01E00	1.67E-01	-0.728	ACTR1A,ARCN1,ARFGAP3,CAPZA2,COG6,COPB2,COPE,COPG1,DCTN1,DCTN4,DCTN5,GOSR1,RAB1A,TMED2,TMED3,TUBA1B,YKT6	
SUMOylation of DNA damage response and repair proteins	3.01E00	1.84E-01	-1.069	BLM,CBX4,HDAC7,NSMCE3,NUP43,NUP54,NUP58,NUP93,PHC2,PIAS1,PML,SUMO2,TPR,UBE2I	
MyD88-independent TLR4 cascade	2.99E00	2.43E-01	-1.667	CASP8,CHUK,FADD,PTPN11,RIPK1,TBK1,TICAM1,TRAF3,UBE2D2	
Endometrial Cancer Signaling	2.98E00	2E-01	-2.111	AKT1,CTNNB1,GRB2,MAP2K2,MAPK3,MLH1,NRAS,PIK3R3,PIK3R5,RAF1,RAP1A,SOS2	
Docosahexaenoic Acid (DHA) Signaling	2.94E00	1.28E-01	-0.354	ADCY3,AKT1,APAF1,ATF2,BAX,BRAF,CASP7,CASP8,CREB3,CYCS,FADD,FASLG,GSK3A,HMOX1,MAP2K2,MAPK3,MLST8,PDIA3,PIK3R3,PIK3R5,PLAAT4,PLB1,PLCD3,PRKACA,PRKCI,RAF1,RELA,RPS6KB2,RXRA,STXBP3,STXBP4,TGFB2	
Tumoricidal Function of Hepatic Natural Killer Cells	2.93E00	2.92E-01	-1.890	APAF1,BAX,CASP7,CASP8,CYCS,FADD,FASLG	
FGF Signaling	2.93E00	1.74E-01	-1.807	AKT1,ATF2,CREB3,CRK,GRB2,MAPK14,MAPK3,PIK3R3,PIK3R5,PTPN11,PTPN6,RAF1,RPS6KA5,SOS2,STAT3	
Mouse Embryonic Stem Cell Pluripotency	2.92E00	1.63E-01	-2.668	AKT1,CTNNB1,DVL3,GRB2,JAK3,MAP2K2,MAPK14,MAPK3,NRAS,PIK3R3,PIK3R5,PTPN11,RAF1,RAP1A,SMAD5,SOS2,STAT3	
Tight Junction Signaling	2.91E00	1.39E-01	NaN	ACTA2,AKT1,ARHGEF2,CDC42,CDK4,CEBPA,CPSF3,CSTF3,CTNNB1,GOSR1,MARK2,MYL6B,NFKB2,PPP2CA,PPP2R2A,PPP2R2D,PPP2R5D,PPP2R5E,PRKACA,PRKCI,RELA,SAFB,STX4,TGFB2,YKT6	
Macrophage Alternative Activation Signaling Pathway	2.91E00	1.37E-01	-2.746	ACLY,ATF2,CREB3,EIF4EBP1,FCER1G,GRB2,H3-3A/H3-3B,JAK3,KDM6B,KLF4,MAPK14,MAPK3,MLST8,NFKB2,NFKBIE,NR1H2,NR1H3,PIK3R3,PIK3R5,RELA,RPS6KA1,RPS6KA5,RXRA,STAT3,SYK,TGFB2	
SUMOylation of ubiquitinylation proteins	2.9E00	2.37E-01	-1.000	NUP43,NUP54,NUP58,NUP93,PIAS1,PML,TPR,TRIM27,UBE2I	
PTEN Signaling	2.9E00	1.46E-01	1.789	AKT1,CDC42,CHUK,CSNK2A2,CSNK2B,FASLG,GRB2,GSK3A,ITGA6,MAP2K2,MAPK3,NFKB2,NRAS,PIK3R3,PIK3R5,RAF1,RAP1A,RELA,RPS6KB2,SHC1,SOS2,TNFRSF11A	
NF-κB Activation by Viruses	2.9E00	1.79E-01	-2.673	AKT1,CHUK,ITGA6,MAPK3,NFKB2,NFKBIE,NRAS,PIK3R3,PIK3R5,PRKCI,RAF1,RAP1A,RELA,RIPK1	
IL-7 Signaling Pathway	2.9E00	1.79E-01	-1.941	AKT1,BAK1,BAX,GRB2,GSK3A,JAK3,MAPK14,MAPK3,PIK3R3,PIK3R5,SHC1,SOS2,STAT5A,STAT5B	
Transcriptional regulation by RUNX3	2.87E00	1.67E-01	-4.000	CTNNB1,HDAC4,PSMA5,PSMB10,PSMB4,PSMB5,PSMC3,PSMC4,PSMC5,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD4,PSMD5	
Interleukin-2 family signaling	2.86E00	2.17E-01	-3.162	GRB2,HAVCR2,JAK3,PIK3R3,PTPN6,SHC1,STAT3,STAT5A,STAT5B,SYK	
tRNA Splicing	2.86E00	2.17E-01	0.000	APEX1,GDE1,GDPD1,PDE12,PDE4A,PDE4D,PDE7A,TSEN15,TSEN2,TSEN34	
DNA damage-induced 14-3-3σ Signaling	2.86E00	2.17E-01	-0.632	AKT1,APAF1,ATM,CASP10,CASP5,CASP7,CASP8,CCNE1,CCNE2,COP1	
Cytoprotection by HMOX1	2.85E00	1.94E-01	-2.111	ABCC1,BLVRA,COX5A,COX8A,CYCS,HMOX1,HMOX2,MAFK,MED1,RXRA,STAT3,TXNIP	
Heme Degradation	2.85E00	7.5E-01	NaN	BLVRA,HMOX1,HMOX2	
DDX58/IFIH1-mediated induction of interferon-alpha/beta	2.84E00	1.77E-01	-2.138	CASP10,CASP8,CHUK,FADD,ITCH,NFKB2,PIN1,RELA,RIPK1,SAA1,TBK1,TRAF3,TRIM25,UBE2D2	
Renal Cell Carcinoma Signaling	2.84E00	1.77E-01	-1.941	AKT1,CDC42,CRK,ELOC,GRB2,MAP2K2,MAPK3,NRAS,PIK3R3,PIK3R5,PTPN11,RAF1,RAP1A,SOS2	
CDK5 Signaling	2.83E00	1.57E-01	-0.775	ABL1,ADCY3,ITGA6,MAP2K2,MAPK14,MAPK3,NRAS,PPP1R10,PPP1R14A,PPP1R14B,PPP2CA,PPP2R2A,PPP2R2D,PPP2R5D,PPP2R5E,PRKACA,RAF1,RAP1A	
Signaling by Erythropoietin	2.82E00	2.8E-01	-2.646	GRB2,NRAS,PIK3R5,SHC1,STAT5A,STAT5B,VAV1	
Intra-Golgi and retrograde Golgi-to-ER traffic	2.82E00	1.33E-01	-1.347	ACTR1A,ARCN1,ARFGAP3,CAPZA2,COG6,COPB2,COPE,COPG1,CYTH4,DCTN1,DCTN4,DCTN5,GCC1,GOLGA5,GOLIM4,GOSR1,KIF1C,KIF20B,KIF23,KIF2C,MAN1A2,NAA38,RAB1A,TMED2,TMED3,TUBA1B,YKT6	
Toll Like Receptor 3 (TLR3) Cascade	2.8E00	2.5E-01	-1.414	CASP8,CHUK,FADD,RIPK1,TBK1,TICAM1,TRAF3,UBE2D2	
E3 ubiquitin ligases ubiquitinate target proteins	2.78E00	2E-01	-1.508	CDC73,PAF1,RNF181,RNF20,RNF40,RRAGA,SHPRH,UBE2D2,UBE2E1,UBE2J2,VCP	
Lymphotoxin β Receptor Signaling	2.78E00	2E-01	-2.121	AKT1,APAF1,CHUK,CYC1,CYCS,MAPK3,NFKB2,PIK3R3,PIK3R5,RELA,TRAF3	
p53 Signaling	2.77E00	1.63E-01	0.333	AKT1,APAF1,ATM,BAX,CCNK,CDK4,CSNK1D,CTNNB1,GADD45A,MAPK14,MED1,PIAS1,PIK3R3,PIK3R5,PML,TP53I3	
Protein folding	2.77E00	1.63E-01	-3.000	CCNE1,CCNE2,CCT6A,CCT7,CCT8,CSNK2A2,CSNK2B,DCAF7,FBXO6,FBXW7,GNB4,PFDN6,RGS9,STAT3,TCP1,TUBA1B	
Sertoli Cell-Germ Cell Junction Signaling Pathway (Enhanced)	2.75E00	1.27E-01	-0.365	ACTA2,AKT1,ARPC5L,CD2AP,CDC42,CTNNB1,GJA1,GSK3A,IL1R1,ITGA6,MAP2K2,MAP3K11,MAP3K3,MAPK14,MAPK3,NFKB2,NRAS,PIK3R3,PIK3R5,PPP2CA,PPP2R2A,PPP2R2D,PPP2R5D,PPP2R5E,PRKACA,RAP1A,RELA,SP1,TGFB2,WASL	
Neuregulin Signaling	2.75E00	1.54E-01	-2.500	AKT1,CRK,GRB2,ITGA6,MAP2K2,MAPK3,NRAS,PIK3R3,PRKCI,PTPN11,RAF1,RAP1A,RNF41,RPS6KB2,SHC1,SOS2,STAT5A,STAT5B	
Signaling by FGFR3	2.74E00	2.25E-01	-2.333	BRAF,GALNT3,GRB2,MAPK3,MKNK1,NRAS,PPP2CA,PTPN11,SHC1	
NLR signaling pathways	2.71E00	1.96E-01	-2.714	AIM2,CASP8,CHUK,HMOX1,ITCH,MAPK14,MEFV,NFKB2,NLRC4,RELA,TXNIP	
Activation of the pre-replicative complex	2.71E00	2.42E-01	-2.121	CDC45,CDC6,CDT1,MCM2,MCM3,MCM5,ORC1,ORC5	
DHCR24 Signaling Pathway	2.7E00	1.46E-01	-3.578	AKT1,APOA2,APOB,APOH,C3,DHCR24,FGA,HMOX1,NFKB2,NR1H2,NR1H3,NRAS,ORM1,ORM2,PIK3R3,PIK3R5,PRKCI,RAP1A,RXRA,SAA1	
Eicosanoid Signaling	2.69E00	1.21E-01	-2.694	ABCC1,ADCY3,AKT1,ALOX5,AP1M1,ATF2,BRAF,CCDC51,CREB3,CTNNB1,GNAI2,GNB4,GSK3A,KLF4,MAP2K2,MAPK14,MAPK3,MAPKAPK3,NFKB2,NRAS,PDIA3,PIK3R3,PIK3R5,PLAAT4,PLB1,PLCD3,PRKACA,PRKCI,RAF1,RAP1A,RAPGEF3,RPS6KA1,RPS6KA2,VEGFC	
BEX2 Signaling Pathway	2.68E00	1.71E-01	-0.277	AKT1,BAK1,CTNNB1,LGALS1,LMO2,NFKB2,PPP2CA,PPP2R2A,PPP2R2D,PPP2R5D,PPP2R5E,RELA,STAT3,VEGFC	
Pyridoxal 5'-phosphate Salvage Pathway	2.67E00	1.85E-01	-1.732	BRAF,CDK4,CDK8,CSNK1A1,CSNK1D,DYRK1A,LIMK1,MAK,MAP2K2,MAPK3,PDXK,PKN1	
Hereditary Breast Cancer Signaling	2.67E00	1.45E-01	0.894	AKT1,ATM,BLM,CDK4,FANCE,FANCG,GADD45A,MLH1,MRE11,MSH6,NRAS,PIK3R3,PIK3R5,POLR2C,POLR2F,RAP1A,RFC2,TGFB2,TUBG1,VEGFC	
Regulation of lipid metabolism by PPARalpha	2.66E00	1.51E-01	-2.357	APOA2,CCNC,CDK8,ESRRA,FDFT1,MED1,MED11,MED13,MED19,MED9,NFYC,NR1H2,NR1H3,RGL1,RXRA,SP1,THRAP3,TRIB3	
Cholecystokinin/Gastrin-mediated Signaling	2.66E00	1.51E-01	-1.213	ATF2,CDC42,CREM,GRB2,MAP2K2,MAP2K5,MAPK14,MAPK3,NRAS,PRKCI,RAF1,RAP1A,RHOB,RHOQ,RHOT1,SHC1,SOS2,SRF	
Activation of gene expression by SREBF (SREBP)	2.66E00	2.2E-01	-3.000	FDFT1,FDPS,MED1,MVK,NFYC,PMVK,RXRA,SCD,SP1	
Role of IL-17A in Arthritis	2.65E00	1.93E-01	NaN	ATF2,CCL2,MAP2K2,MAPK14,MAPK3,NFKB2,NFKBIE,PIK3R3,PIK3R5,RELA,RPS6KA1	
ERK5 Signaling	2.64E00	1.76E-01	-1.387	AKT1,ATF2,CREB3,MAP2K5,MAP3K3,NRAS,PTPN11,RAP1A,RPS6KA1,RPS6KA2,RPS6KA5,RPS6KB2,YWHAG	
Ephrin A Signaling	2.63E00	1.44E-01	-1.342	ACP1,AKT1,BRAF,CDC42,FGR,HCK,LIMK1,MAP2K2,MAPK3,MYL6B,PIK3R3,PIK3R5,PRKACA,PTPN11,RAF1,RAP1A,STAT3,TGFB2,VAV1,VAV3	
Synaptogenesis Signaling Pathway	2.62E00	1.17E-01	-2.744	ADCY3,AKT1,AP2A2,ARPC5L,ATF2,BRAF,CACNB1,CDC42,CLASP2,CREB3,CRK,CTNNB1,EIF4EBP1,FGR,GOSR1,GRB2,HCK,LIMK1,MAPK14,MAPK3,NAP1L4,NRAS,PIK3R3,PIK3R5,PRKACA,RAB5C,RAF1,RAP1A,RPS6KB2,SGTA,SHC1,SNCG,SOS2,STXBP3,STXBP4,WASL,YKT6	
Oncogene Induced Senescence	2.62E00	2.35E-01	-1.633	CDK4,E2F2,MAPK3,MOV10,SP1,TFDP1,TNRC6A,TNRC6C	
4-1BB Signaling in T Lymphocytes	2.62E00	2.35E-01	-1.890	ATF2,CHUK,MAP2K2,MAPK14,MAPK3,NFKB2,NFKBIE,RELA	
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza	2.61E00	1.82E-01	-2.333	AKT1,CRK,GNAI2,KPNA3,MAP2K2,MAPK3,MLH1,NFKB2,NFKBIE,PIK3R3,PIK3R5,RELA	
ATF4 activates genes in response to endoplasmic reticulum stress	2.61E00	2.59E-01	-0.378	CCL2,DIS3,EXOSC4,EXOSC7,KHSRP,NFYC,PARN	
Myelination Signaling Pathway	2.6E00	1.16E-01	-2.596	AKT1,ARHGAP1,ARHGAP5,ARHGAP9,ATF2,BRAF,CDC42,CNP,CREB3,CTNNB1,EGR2,EIF4E,EIF4EBP1,FGR,FKBP1A,GRB2,HCK,HDAC4,HDAC7,ITGA6,MAP2K2,MAPK3,MLST8,NDRG1,NFKB2,NRAS,PIK3R3,PIK3R5,PRKACA,PTPN11,RAF1,RAP1A,RAPGEF3,RPS6KB2,SCD,SMAD5,SMARCA4,SOS2	
Interleukin-9 signaling	2.6E00	4.44E-01	-2.000	JAK3,STAT3,STAT5A,STAT5B	
Salvage Pathways of Pyrimidine Deoxyribonucleotides	2.6E00	4.44E-01	-2.000	APOBEC3G,TK1,TK2,TYMP	
Regulation of TP53 Activity through Phosphorylation	2.58E00	1.61E-01	-2.324	ATM,BLM,CSNK2A2,CSNK2B,DNA2,EXO1,KAT5,MAPK14,MRE11,PIN1,RFC2,RHNO1,RMI1,SUPT16H,TAF7	
Cardiac β-adrenergic Signaling	2.58E00	1.33E-01	1.291	ADCY3,AKAP13,AKAP7,AKAP9,APEX1,CACNB1,GDE1,GDPD1,GNAI2,GNB4,GRK2,PDE12,PDE4A,PDE4D,PDE7A,PPP1R10,PPP1R14A,PPP1R14B,PPP2CA,PPP2R2A,PPP2R2D,PPP2R5D,PPP2R5E,PRKACA	
AMPK Signaling	2.58E00	1.24E-01	-0.471	AK2,AK3,AK9,AKT1,ATF2,CAMKK2,CREB3,EIF4EBP1,GNAI2,GNB4,GYS1,MAPK14,MLST8,PFKFB4,PIK3R3,PIK3R5,PPM1D,PPM1M,PPP2CA,PPP2R2A,PPP2R2D,PPP2R5D,PPP2R5E,PRKACA,RAB1A,RAB2A,RAB7A,RAB8A,SMARCA4,SMARCD1	
NR1H2 and NR1H3-mediated signaling	2.57E00	2E-01	-2.530	ABCG1,KDM1B,MOV10,MYLIP,NR1H2,NR1H3,RXRA,SCD,TNRC6A,TNRC6C	
Melanoma Signaling	2.57E00	2E-01	-1.897	AKT1,BRAF,CDK4,MAP2K2,MAPK3,NRAS,PIK3R3,PIK3R5,RAF1,RAP1A	
MYC Mediated Apoptosis Signaling	2.57E00	2E-01	-1.265	APAF1,BAX,CASP8,CHUK,CYCS,FADD,FASLG,NFKB2,PRKACA,TRADD	
ILK Signaling	2.56E00	1.29E-01	-1.043	ACTA2,ACTN4,AKT1,ATF2,CDC42,CREB3,CTNNB1,GSK3A,MAPK3,MYL6B,NFKB2,PIK3R3,PIK3R5,PPP1R14B,PPP2CA,PPP2R2A,PPP2R2D,PPP2R5D,PPP2R5E,RELA,RHOB,RHOQ,RHOT1,RPS6KA5,TESK1,VEGFC	
IL-17A Signaling in Airway Cells	2.55E00	1.79E-01	-2.887	AKT1,CHUK,JAK3,MAP2K2,MAPK14,MAPK3,NFKB2,NFKBIE,PIK3R3,PIK3R5,RELA,STAT3	
Integrin Signaling	2.54E00	1.27E-01	-1.961	ABL1,ACTA2,ACTN4,AKT1,ARHGAP26,ARHGAP5,ARPC5L,BRAF,CDC42,CRK,GRB2,ITGA6,MAP2K2,MAP3K11,MAPK3,NEDD9,NRAS,PIK3R3,PIK3R5,RAF1,RAP1A,RHOB,RHOQ,RHOT1,SHC1,SOS2,WASL	
Hypoxia Signaling in the Cardiovascular System	2.54E00	1.71E-01	-1.633	AKT1,ATF2,ATM,COPS5,CREB3,CSNK1D,NFKBIE,P4HB,UBE2D2,UBE2E1,UBE2H,UBE2I,UBE2J2	
HGF Signaling	2.53E00	1.44E-01	-2.183	AKT1,ATF2,CDC42,ELF2,GRB2,ITGA6,MAP2K2,MAP3K11,MAP3K3,MAPK3,NRAS,PIK3R3,PIK3R5,PRKCI,PTPN11,RAF1,RAP1A,SOS2,STAT3	
