© 2000-2024 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
PPARα/RXRα Activation	5.88E00	1.75E-01	0.784	ABCA1,ACVR1,ACVR2A,BCL3,CD36,GNAQ,GNAS,GPD2,GUCY1A1,GUCY1B1,HSP90AA1,HSP90B1,IL18RAP,IL1B,IRS1,ITGB5,JUN,KRAS,MAP4K4,MEF2C,NFKBIA,NFKBIB,PLCB4,PLCH1,PRKAA1,PRKACB,PRKAR1A,PRKAR2B,RALB,RAP1B,RAP2B,RELB,SMAD2,TGFB1	
Integrin Signaling	5.85E00	1.7E-01	2.197	ACTN1,AKT3,ARF6,ARPC2,ARPC3,ASAP1,CRKL,CTTN,GSK3B,ILK,ITGA2,ITGB1,ITGB2,ITGB5,KRAS,LIMS1,MYL12A,MYLK,NCK2,PAK1,PAK2,PIK3C3,PIK3CB,PPP1CB,PTEN,PTK2,PXN,RAC2,RALB,RAP1B,RAP2B,RHOG,TLN1,VASP,VCL,WIPF1	
Signal amplification	5.77E00	3.64E-01	0.577	GNAI3,GNAQ,GNB1,GNB2,GNB5,GNG10,GNG11,GNG2,GNG5,P2RY1,P2RY12,PLA2G4A	
Activated PKN1 stimulates transcription of AR regulated genes KLK2 and KLK3	5.73E00	3.93E-01	-2.111	H2AC14,H2AC20,H2AC6,H2AX,H2AZ2,H2BC13,H2BC14,H2BC17,H2BC26,H2BC3,NCOA2	
Thrombin Signaling	5.65E00	1.64E-01	2.683	AKT3,ARHGEF12,EGF,F2R,GATA2,GNAI3,GNAO1,GNAQ,GNAS,GNAZ,GNB1,GNB2,GNB5,GNG10,GNG11,GNG2,GNG5,GUCY1A1,GUCY1B1,ITPR1,ITPR2,KRAS,MYL12A,MYLK,PIK3C3,PIK3CB,PLCB4,PLCH1,PPP1CB,PTK2,RAC2,RALB,RAP1B,RAP2B,RELB,RHOG,ROCK2	
RUNX1 regulates megakaryocyte differentiation and platelet function	5.64E00	2.76E-01	1.342	AGO4,GP1BA,H2AC14,H2AC20,H2AC6,H2AX,H2AZ2,H2BC13,H2BC14,H2BC17,H2BC26,H2BC3,KMT2C,PF4,RUNX1,THBS1	
Opioid Signaling Pathway	5.64E00	1.54E-01	0.174	AKT3,AP2A1,ARRB2,CALM1 (includes others),CDKN1B,CREB5,FOS,FOSB,GNAI3,GNAO1,GNAQ,GNAS,GNAZ,GNB1,GNB2,GNB5,GNG10,GNG11,GNG2,GNG5,GRINA,GRK3,GRK4,GSK3B,GUCY1A1,GUCY1B1,ITPR1,ITPR2,KRAS,NFKBIA,PDK1,PPP3R1,PRKACB,PRKAR1A,PRKAR2B,RAC2,RALB,RAP1B,RAP2B,RGS10,RGS18,RGS19,RGS6	
Signaling by VEGF	5.64E00	2.13E-01	1.091	ABI1,ABI2,AKT3,BRK1,CALM1 (includes others),CYBA,HSP90AA1,ITPR1,ITPR2,KRAS,NCF2,NCF4,NCK2,NCKAP1,PAK1,PAK2,PIK3CB,PRKACB,PTK2,PXN,RASA1,ROCK2,WASF3	
Oxidative Stress Induced Senescence	5.6E00	2.33E-01	-2.524	AGO4,CDK6,FOS,H2AC14,H2AC20,H2AC6,H2AX,H2AZ2,H2BC13,H2BC14,H2BC17,H2BC26,H2BC3,JUN,MAP3K5,MAP4K4,PHC3,TNIK,TXN,UBC	
Hedgehog 'on' state	5.6E00	2.33E-01	-4.025	ARRB2,PSMA3,PSMA4,PSMA7,PSMB2,PSMB3,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMD3,PSMD7,PSMD8,PSME1,PSME2,PSME3,RBX1,UBC	
IL-12 Signaling and Production in Macrophages	5.6E00	1.62E-01	-0.973	ADRA2A,AKT3,CALM1 (includes others),CD47,CEBPB,FCGR1A,FCGR3A/FCGR3B,FOS,H3-3A/H3-3B,H3C3,IFIH1,IGHG1,IGKC,IRF1,JCHAIN,JMJD6,JUN,LYZ,MYD88,NFAT5,NFIL3,PIAS2,PIK3C3,PIK3CB,PPARG,PRKAA1,RELB,S100A8,SERPINA1,SOCS3,SPI1,STAT1,STAT6,TGFB1,THBS1,TLR4,XRCC5,XRCC6	
GNRH Signaling	5.59E00	1.73E-01	0.392	CALM1 (includes others),CREB5,EGR1,FOS,GNAI3,GNAQ,GNAS,GNB1,GNB2,GNB5,GNG10,GNG11,GNG2,GNG5,GUCY1A1,GUCY1B1,ITPR1,ITPR2,JUN,KRAS,MAP3K5,PAK1,PAK2,PLCB4,PRKACB,PRKAR1A,PRKAR2B,PTK2,PXN,RALB,RAP1B,RAP2B,RELB	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	5.59E00	1.73E-01	-1.512	AKT3,CAT,CYBA,FOS,IFNGR2,IRF1,JUN,LYZ,MAP3K5,MPO,NCF2,NCF4,NFKBIA,NFKBIB,PIK3C3,PIK3CB,PPM1L,PPP1CA,PPP1CB,PPP1R11,PPP1R7,PPP2R5C,RAC2,RAP1B,RELB,RHOG,S100A8,SERPINA1,SIRPA,SPI1,STAT1,TLR4,TNFRSF1A	
DNA Double Strand Break Response	5.53E00	2.71E-01	-2.000	BARD1,H2AX,H2BC13,H2BC14,H2BC17,H2BC26,H2BC3,KPNA2,NBN,NSD2,RNF168,SMARCA5,SUMO1,UBC,UBE2N,UIMC1	
Telomere Maintenance	5.49E00	2.47E-01	-2.828	ANKRD28,CCNA2,FEN1,H2AC14,H2AC20,H2AC6,H2AX,H2AZ2,H2BC13,H2BC14,H2BC17,H2BC26,H2BC3,NHP2,NOP10,PCNA,RPA1,RPA3	
Amyloid fiber formation	5.49E00	2.47E-01	-1.886	ADAM10,APP,B2M,H2AC14,H2AC20,H2AC6,H2AX,H2AZ1,H2BC13,H2BC14,H2BC17,H2BC26,H2BC3,LTF,LYZ,TSPAN33,UBC,UBE2L6	
Hereditary Breast Cancer Signaling	5.49E00	1.9E-01	NaN	AKT3,BARD1,BRD7,CCND2,CDK1,CDK6,CDKN1A,FANCL,GADD45B,H2AX,HDAC9,KRAS,NBN,PIK3C3,PIK3CB,POLR2J,POLR2K,POLR2L,PTEN,RAD51,RALB,RAP1B,RAP2B,RPA1,SMARCA2,SMARCD3,UBC	
Cardiac Hypertrophy Signaling (Enhanced)	5.48E00	1.27E-01	1.987	ACVR1,ACVR2A,ADRA2A,AKT3,ATP2A2,CALM1 (includes others),CHP1,CSF2RB,CXCR1,CXCR2,DIAPH1,DLG1,GNAI3,GNAQ,GNAS,GNB1,GNB2,GNB5,GNG10,GNG11,GNG2,GNG5,GSK3B,GUCY1A1,GUCY1B1,HDAC9,IFNAR1,IL18RAP,IL1B,ITGA2,ITGB1,ITGB2,ITGB5,ITPR1,ITPR2,JUN,KRAS,MAP3K20,MAP3K5,MEF2C,MKNK2,NFAT5,PDE3A,PDE5A,PDK1,PIK3C3,PIK3CB,PLCB4,PLCH1,PPP3R1,PRKACB,PRKAR1A,PRKAR2B,PRKG1,PTEN,PTK2,RALB,RAP1B,RAP2B,RELB,ROCK2,RPS6,TDP2,TGFB1,TNFRSF1A,TNFSF10,TNFSF13B,TNFSF14,TNFSF4	
PRC2 methylates histones and DNA	5.46E00	3.43E-01	-1.732	DNMT1,H2AC14,H2AC20,H2AC6,H2AX,H2AZ2,H2BC13,H2BC14,H2BC17,H2BC26,H2BC3,JARID2	
IL-33 Signaling Pathway	5.45E00	1.73E-01	0.209	AKT3,CASP1,CASP4,CCL5,CREB5,CTSG,ELANE,FOS,H2AC20,H2AC21,H2AX,H2AZ1,H2AZ2,H2BC10,H2BC17,H2BC26,ICAM1,ICAM3,IL1B,IL1RN,JUN,MACROH2A1,MMP9,MYD88,NFKBIA,NFKBIB,PIK3C3,PIK3CB,PRKACB,PRKAR1A,PRKAR2B,RPS6KC1	
Mitotic Prophase	5.44E00	2.14E-01	-3.838	CCNB2,CDK1,ENSA,H2AC14,H2AC20,H2AC6,H2AX,H2AZ2,H2BC13,H2BC14,H2BC17,H2BC26,H2BC3,LMNB1,NEK7,NUP214,NUP50,PLK1,SEC13,SET,SMC2,TMPO	
14-3-3-mediated Signaling	5.41E00	1.97E-01	0.688	AKT3,CDKN1B,FOS,GSK3B,JUN,KRAS,MAP3K5,PIK3C3,PIK3CB,PLCB4,PLCH1,RALB,RAP1B,RAP2B,TNFRSF1A,TUBA1A,TUBA1C,TUBA4A,TUBA8,TUBB,TUBB1,VIM,YWHAB,YWHAE,YWHAZ	
Inflammasome pathway	5.37E00	4.5E-01	-1.667	CASP1,IL1B,MYD88,NAIP,NEK7,NLRP3,PANX1,PYCARD,TLR4	
Chronic Myeloid Leukemia Signaling	5.34E00	1.51E-01	-0.926	AKT3,AURKB,BCL2L11,BIRC5,CALM1 (includes others),CCND2,CDK6,CDKN1A,CDKN1B,CHP1,CRKL,CTBP2,FOS,FOXM1,GAB2,GSK3B,HDAC9,HSP90AA1,HSP90B1,ITGB1,JUN,KRAS,MCL1,MMP9,NFAT5,PA2G4,PIK3C3,PIK3CB,PLCB4,PLCH1,PLK1,PPP3R1,PRKAA1,PTEN,RAC2,RALB,RAP1B,RAP2B,RELB,SET,TGFB1,TNFSF10	
Apelin Muscle Signaling Pathway	5.32E00	2.92E-01	NaN	AKT3,GNAI3,GNAO1,GNAQ,GNAS,GNAZ,GNB1,GNB2,GNB5,GNG10,GNG11,GNG2,GNG5,PRKAA1	
Interferon Signaling	5.32E00	3.33E-01	-3.464	IFI6,IFIT1,IFIT3,IFITM1,IFITM2,IFITM3,IFNAR1,IFNGR2,IRF1,ISG15,PSMB8,STAT1	
Immunogenic Cell Death Signaling Pathway	5.28E00	2.22E-01	-3.578	ANXA1,CALR,CASP1,DDIT3,FPR1,GZMA,GZMB,HMGB1,HSP90AA1,HSP90B1,HSPA5,HSPA9,IFNAR1,IFNGR2,IL1B,NLRP3,PANX1,PYCARD,TLR4,TNFRSF1A	
Opioid Signalling	5.28E00	2.22E-01	0.943	CALM1 (includes others),GNAI3,GNAQ,GNB1,GNB2,GNB5,GNG10,GNG11,GNG2,GNG5,ITPR1,ITPR2,KPNA2,PLA2G4A,PLCB4,PPP1CA,PPP3R1,PRKACB,PRKAR1A,PRKAR2B	
Unfolded protein response	5.28E00	2.22E-01	-2.309	CALR,CEBPB,CEBPD,CEBPE,DDIT3,DNAJA1,DNAJA4,DNAJB1,DNAJB11,DNAJB6,DNAJC13,DNAJC16,DNAJC5,ERO1B,HSP90B1,HSPA5,HSPA9,MAP3K5,PPARG,XBP1	
IL-10 Signaling	5.27E00	1.82E-01	0.756	AKT3,BCL3,BHLHE40,CCR1,CDKN1A,CREB5,DDIT4,DUSP1,FFAR2,FOS,GSK3B,HLA-DOA,ICAM1,IFNGR2,IL18RAP,IL1B,IL1RN,JUN,MAP4K4,NFKBIA,NFKBIB,PBX1,PRDM1,PRKAA1,RELB,SOCS3,STAT1,TLR4	
Cardiac Hypertrophy Signaling	5.27E00	1.53E-01	2.475	ADRA2A,ADSS2,CALM1 (includes others),CHP1,GNAI3,GNAO1,GNAQ,GNAS,GNAZ,GNB1,GNB2,GNB5,GNG10,GNG11,GNG2,GNG5,GSK3B,GUCY1A1,GUCY1B1,IRS1,JUN,KRAS,MAP3K5,MEF2C,MYL12A,PIK3C3,PIK3CB,PLCB4,PLCH1,PPP3R1,PRKACB,PRKAR1A,PRKAR2B,RAC2,RALB,RAP1B,RAP2B,RHOG,ROCK2,TGFB1	
Eicosanoid Signaling	5.26E00	1.5E-01	1.543	AKT3,ALOX5AP,AP1M2,ARRB2,ATP2A2,CREB5,EGR1,FPR2,GNAI3,GNAO1,GNAQ,GNAS,GNB1,GNB2,GNB5,GNG10,GNG11,GNG2,GNG5,GUCY1A1,GUCY1B1,HPGD,ITGB1,KRAS,LTA4H,PIK3C3,PIK3CB,PLA2G12A,PLA2G4A,PLAAT1,PLCB4,PLCH1,PNPLA8,PRDX6,PRKACB,PRKAR1A,PRKAR2B,PTGER2,PTGS1,RALB,RAP1B,RAP2B	
Senescence Pathway	5.26E00	1.47E-01	1.947	ACVR1,ACVR2A,AKT3,ANAPC11,ANAPC13,ANAPC5,BHLHE40,CALM1 (includes others),CAT,CCNB2,CCND2,CDC25A,CDC26,CDK1,CDK6,CDKN1A,CDKN1B,CEBPB,CHP1,DLD,ELK3,GADD45B,ITPR2,JUN,KRAS,MCU,NBN,NFAT5,PDK1,PDK4,PIK3C3,PIK3CB,PPM1L,PPP1CA,PPP2R5C,PPP3R1,PTEN,RALB,RAP1B,RAP2B,RASSF5,SMAD2,TGFB1,ZFP36L1	
HSP90 chaperone cycle for steroid hormone receptors in the presence of ligand	5.26E00	2.73E-01	-0.258	ACTR10,DCTN3,DNAJA1,DNAJA4,DNAJB1,DYNC1I1,DYNC1LI2,DYNLL1,HSP90AA1,STIP1,TUBA1A,TUBA1C,TUBA4A,TUBA8,TUBB1	
Nucleosome assembly	5.21E00	2.86E-01	-1.604	CENPT,H2AC14,H2AC20,H2AC6,H2AX,H2AZ2,H2BC13,H2BC14,H2BC17,H2BC26,H2BC3,HJURP,ITGB3BP,SMARCA5	
Vasopressin regulates renal water homeostasis via Aquaporins	5.18E00	3.02E-01	0.832	GNAS,GNB1,GNB2,GNB5,GNG10,GNG11,GNG2,GNG5,PRKACB,PRKAR1A,PRKAR2B,RAB11A,RAB11FIP2	
Aggrephagy	5.18E00	3.02E-01	0.277	ARL13B,DYNC1I1,DYNC1LI2,DYNLL1,HSP90AA1,TUBA1A,TUBA1C,TUBA4A,TUBA8,TUBB1,UBC,UBE2N,VIM	
ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression	5.17E00	3.24E-01	-2.309	ERCC6,H2AC14,H2AC20,H2AC6,H2AX,H2AZ2,H2BC13,H2BC14,H2BC17,H2BC26,H2BC3,TTF1	
ABRA Signaling Pathway	5.13E00	2.17E-01	1.342	ABLIM3,ACTN1,CALD1,CHP1,DIAPH1,EGR1,FOS,FOSB,ITGB1,JUNB,LIMK2,MEF2C,MMP9,PPP1CA,PPP3R1,ROCK2,TPM1,TPM4,VCL,VIL1	
ID1 Signaling Pathway	5.1E00	1.64E-01	0.870	ABI1,ACVR1,ACVR2A,AKT3,APP,BCL3,BHLHE40,BIRC5,CDC20,CDKN1A,CDKN1B,EGF,EGR1,FN1,GSK3B,KIF11,KRAS,MMP9,PIK3C3,PIK3CB,PLAC8,PTEN,PTK7,RALB,RAP1B,RAP2B,S100A9,SMAD2,TGFB1,TGM2,TNFRSF1A,TYMS,VIM	
Pancreatic Secretion Signaling Pathway	5.08E00	1.54E-01	3.569	AKT3,ARHGDIA,ARHGEF12,ATP2A2,ATP2B4,CA13,CA2,DIAPH1,EGF,GNAQ,GNAS,GUCY1A1,GUCY1B1,ITPR1,ITPR2,LIPA,LIPC,LIPH,MCU,ORAI1,PAK2,PIK3C3,PIK3CB,PLCB4,PLCH1,PPP1CA,PPP1CB,PPP1R11,PPP1R7,PRKACB,PRKAR1A,PRKAR2B,RAP1B,RGS2,ROCK2,SLC9A1,STK39,VAMP3	
Translocation of SLC2A4 (GLUT4) to the plasma membrane	5.04E00	2.39E-01	2.183	C2CD5,CALM1 (includes others),LNPEP,RAB10,RAB11A,RAB13,RAB14,RALGAPA2,SNAP23,TUBA1A,TUBA1C,TUBA4A,TUBA8,TUBB1,YWHAB,YWHAE,YWHAZ	
ABC-family proteins mediated transport	5.03E00	2.08E-01	-4.146	ABCC3,EIF2S1,EIF2S2,PSMA3,PSMA4,PSMA7,PSMB2,PSMB3,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMD3,PSMD7,PSMD8,PSME1,PSME2,PSME3,UBC	
Pyroptosis	4.99E00	3.7E-01	-2.530	CASP1,CASP4,CHMP2A,CHMP2B,CHMP4B,ELANE,GZMB,HMGB1,IL1B,IRF1	
Pyroptosis Signaling Pathway	4.98E00	2.13E-01	-3.130	CASP1,CASP4,GBP1,GBP2,GBP4,GBP5,GZMA,HMGB1,IL1B,NAIP,NEK7,NLRP3,PANX1,PRKACB,PRKAR1A,PRKAR2B,PYCARD,TLR1,TLR4,TNFRSF1A	
Beta-catenin independent WNT signaling	4.96E00	2.06E-01	0.655	AGO4,AP2A1,ARRB2,CALM1 (includes others),DAAM1,GNAO1,GNB1,GNB2,GNB5,GNG10,GNG11,GNG2,GNG5,ITPR1,ITPR2,KRAS,NLK,PPP3R1,PRKG1,RAC2,UBC	
Macroautophagy	4.94E00	2.46E-01	-1.000	ATG101,ATG3,CHMP2A,CHMP2B,CHMP4B,DYNLL1,GABARAP,GABARAPL2,LAMTOR2,LAMTOR4,LAMTOR5,MAP1LC3B,PIK3C3,PRKAA1,RHEB,RRAGD	
Germ Cell-Sertoli Cell Junction Signaling	4.88E00	1.71E-01	NaN	ACTN1,FER,ILK,IQGAP1,ITGA2,ITGB1,KRAS,LIMK2,MAP3K5,PAK1,PAK2,PIK3C3,PIK3CB,PTK2,PXN,RAC2,RALB,RAP1B,RAP2B,RHOG,TGFB1,TNFRSF1A,TUBA1A,TUBA1C,TUBA4A,TUBA8,TUBB,TUBB1,VCL	
Extra-nuclear estrogen signaling	4.87E00	2.33E-01	-0.728	AKT3,CALM1 (includes others),CDKN1B,EGF,FOS,GNAI3,GNB1,GNB2,GNB5,GNG10,GNG11,GNG2,GNG5,HSP90AA1,KRAS,MMP9,PTK2	
RAB GEFs exchange GTP for GDP on RABs	4.78E00	2.13E-01	2.065	AKT3,DENND2C,DENND4A,DENND4C,DENND5A,GDI2,MADD,RAB10,RAB13,RAB14,RAB27A,RAB27B,RAB31,RAB35,RAB6A,TRAPPC1,TRAPPC6B,TRAPPC9,YWHAE	
Adrenomedullin signaling pathway	4.77E00	1.61E-01	1.826	ADM,AKT3,CALM1 (includes others),CEBPB,CFH,FOS,GNAQ,GNAS,GSK3B,GUCY1A1,GUCY1B1,IL1B,IL1RN,ITPR1,ITPR2,KRAS,MAX,MYLK,PIK3C3,PIK3CB,PLCB4,PLCH1,PPARG,PRKACB,PRKAR1A,PRKAR2B,PRKG1,PTK2,RALB,RAP1B,RAP2B,RELB	
Renin-Angiotensin Signaling	4.77E00	1.9E-01	1.414	CCL5,FOS,GNAQ,GUCY1A1,GUCY1B1,ITPR1,ITPR2,JUN,KRAS,PAK1,PAK2,PIK3C3,PIK3CB,PRKACB,PRKAR1A,PRKAR2B,PTGER2,PTK2,RALB,RAP1B,RAP2B,RELB,STAT1	
Superpathway of Inositol Phosphate Compounds	4.77E00	1.53E-01	-0.180	ALPL,CDC25A,DUSP1,DUSP10,INPP5A,IPMK,ITPK1,NUDT1,PAWR,PIK3C3,PIK3CB,PIP4K2A,PIP4P2,PIP5K1C,PLCB4,PLCH1,PPM1L,PPP1CA,PPP1CB,PPP1R11,PPP1R7,PPP2R5C,PPP3R1,PPP4C,PPP4R1,PRUNE1,PTEN,PTPN1,PTPN12,PTPRF,PTPRJ,RASA1,SACM1L,SET,SIRPA,SOCS3	
JAK/STAT Signaling	4.74E00	2.2E-01	-0.243	AKT3,CDKN1A,CEBPB,FOS,GNAQ,JUN,KRAS,PIAS2,PIK3C3,PIK3CB,PTPN1,RALB,RAP1B,RAP2B,RELB,SOCS3,STAT1,STAT6	
NRF2-mediated Oxidative Stress Response	4.72E00	1.52E-01	-0.243	BACH1,CAT,DNAJA1,DNAJA4,DNAJB1,DNAJB11,DNAJB6,DNAJC13,DNAJC16,DNAJC5,FOS,FTH1,GCLM,GSK3B,GSTA1,GSTP1,HSP90AA1,HSP90B1,JUN,JUNB,KRAS,MAFF,MAP3K5,MGST1,NQO2,PIK3C3,PIK3CB,PPIB,RALB,RAP1B,RAP2B,RBX1,STIP1,TXN,UBE2E3,UBE2K	
Regulation of Cellular Mechanics by Calpain Protease	4.71E00	2.11E-01	1.508	ACTN1,CCNA2,CCND2,CDK1,CDK6,CDKN1B,EGF,ITGA2,ITGB1,ITGB2,ITGB5,KRAS,PTK2,PXN,RALB,RAP1B,RAP2B,TLN1,VCL	
iNOS Signaling	4.71E00	2.77E-01	-3.000	CALM1 (includes others),FOS,HMGA1,IFNGR2,IRF1,JUN,LY96,MYD88,NFKBIA,NFKBIB,RELB,STAT1,TLR4	
Remodeling of Epithelial Adherens Junctions	4.68E00	2.35E-01	-1.342	ACTN1,ARF6,ARPC2,ARPC3,CBLL1,DNM1L,DNM3,IQGAP1,MAPRE2,TUBA1A,TUBA1C,TUBA4A,TUBA8,TUBB,TUBB1,VCL	
SIRT1 negatively regulates rRNA expression	4.67E00	3.45E-01	-2.530	H2AC14,H2AC20,H2AC6,H2AX,H2AZ2,H2BC13,H2BC14,H2BC17,H2BC26,H2BC3	
Leukocyte Extravasation Signaling	4.63E00	1.61E-01	0.392	ACTN1,CLDN5,CRKL,CTTN,CYBA,FER,GNAI3,ICAM1,ICAM3,ITGA2,ITGB1,ITGB2,JAM3,MMP8,MMP9,NCF2,NCF4,PIK3C3,PIK3CB,PTK2,PXN,RAC2,RAP1B,RASSF5,ROCK2,SELPLG,TEC,TIMP2,VASP,VCL,WIPF1	
Pre-NOTCH Expression and Processing	4.62E00	2.24E-01	-2.000	AGO4,ATP2A2,H2AC14,H2AC20,H2AC6,H2AX,H2AZ2,H2BC13,H2BC14,H2BC17,H2BC26,H2BC3,JUN,MAML3,RAB6A,RBPJ,RUNX1	
Angiopoietin Signaling	4.62E00	2.24E-01	0.535	AKT3,ANGPT1,BIRC5,KRAS,NFKBIA,NFKBIB,PAK1,PAK2,PIK3C3,PIK3CB,PTK2,RALB,RAP1B,RAP2B,RASA1,RELB,TNIP1	
Cytoprotection by HMOX1	4.58E00	2.42E-01	-0.258	BACH1,CHD9,COX5B,COX6A1,COX6C,COX7A2L,COX7C,FABP1,MT-CO1,MT-CO2,MT-CO3,NCOA2,NLRP3,SMARCD3,TBL1XR1	
ISGylation Signaling Pathway	4.56E00	1.94E-01	-2.400	BIRC5,DTX3L,EIF2AK2,EIF4E2,HERC5,IFIH1,IFNAR1,IRF1,ISG15,ITGA2,ITGB1,ITGB2,KRAS,NFAT5,PCNA,S100A4,STAT1,TLR1,TLR4,UBE2L6,UBE2N	
MyD88:MAL(TIRAP) cascade initiated on plasma membrane	4.55E00	2.86E-01	-2.309	CD36,FGB,HMGB1,LY96,MYD88,PELI1,S100A8,S100A9,TLR1,TLR4,UBC,UBE2N	
Antiproliferative Role of Somatostatin Receptor 2	4.54E00	2.21E-01	0.577	CDKN1A,CDKN1B,GNB1,GNB2,GNB5,GNG10,GNG11,GNG2,GNG5,GUCY1A1,GUCY1B1,KRAS,PIK3C3,PIK3CB,RALB,RAP1B,RAP2B	
Signaling by CSF3 (G-CSF)	4.52E00	3.33E-01	-2.530	CSF3R,CUL5,ELOB,GAB2,KRAS,SOCS3,STAT1,UBC,UBE2D1,UBE2D3	
Role of NFAT in Cardiac Hypertrophy	4.49E00	1.52E-01	2.646	AKT3,CALM1 (includes others),CHP1,GNAI3,GNAQ,GNAS,GNB1,GNB2,GNB5,GNG10,GNG11,GNG2,GNG5,GSK3B,GUCY1A1,GUCY1B1,HDAC9,ITPR1,ITPR2,KRAS,MEF2C,PIK3C3,PIK3CB,PLCB4,PLCH1,PPP3R1,PRKACB,PRKAR1A,PRKAR2B,RALB,RAP1B,RAP2B,SLC8A1,TGFB1	
MHC class II antigen presentation	4.48E00	1.83E-01	0.209	ACTR10,AP1M2,AP2A1,CENPE,CTSL,DCTN3,DNM1L,DNM3,DYNC1I1,DYNC1LI2,DYNLL1,HLA-DOA,KIF11,KIF20A,KIF2A,RACGAP1,SEC13,SEC24D,TUBA1A,TUBA1C,TUBA4A,TUBA8,TUBB1	
D-myo-inositol-5-phosphate Metabolism	4.41E00	1.57E-01	-0.784	ALPL,CDC25A,DUSP1,DUSP10,ITPK1,NUDT1,PAWR,PIP4K2A,PIP4P2,PLCB4,PLCH1,PPM1L,PPP1CA,PPP1CB,PPP1R11,PPP1R7,PPP2R5C,PPP3R1,PPP4C,PPP4R1,PRUNE1,PTEN,PTPN1,PTPN12,PTPRF,PTPRJ,RASA1,SACM1L,SET,SIRPA,SOCS3	
Macrophage Classical Activation Signaling Pathway	4.41E00	1.59E-01	-1.134	BPI,CCL5,DLD,GBP2,GBP4,HLA-DOA,IFNAR1,IFNGR2,IL1B,IRF1,JARID2,LY96,MT-CO1,MYD88,NCF2,NFKBIA,NFKBIB,PARP9,PPARG,SDHB,SOCS3,SPI1,STAT1,STAT6,TGFB1,TLR4,TNFSF10,TNFSF13B,TNFSF14,TNFSF4	
Cardiac β-adrenergic Signaling	4.4E00	1.61E-01	2.673	ATP2A2,GNAI3,GNAO1,GNAQ,GNAS,GNAZ,GNB1,GNB2,GNB5,GNG10,GNG11,GNG2,GNG5,GRK3,GUCY1A1,GUCY1B1,PDE3A,PDE5A,PPM1L,PPP1CA,PPP1CB,PPP1R11,PPP1R7,PPP2R5C,PRKACB,PRKAR1A,PRKAR2B,SLC8A1,TDP2	
Ribonucleotide Reductase Signaling Pathway	4.4E00	1.64E-01	-2.117	AKT3,BIRC5,BRD7,CDC25A,CDK1,CDK6,CDKN1A,CREB5,FBXL5,FOS,FOXM1,H3-3A/H3-3B,H3C3,JUN,KRAS,MMP9,MYBL2,PARP9,PIK3C3,PIK3CB,RBX1,RRM1,RRM2,SMARCA2,SMARCD3,THBS1,TIPARP,YBX1	
IL-3 Signaling	4.39E00	2.15E-01	-0.728	AKT3,CHP1,CRKL,CSF2RB,FOS,GAB2,JUN,KRAS,PAK1,PIK3C3,PIK3CB,PPP3R1,RALB,RAP1B,RAP2B,STAT1,STAT6	
Detoxification of Reactive Oxygen Species	4.39E00	2.97E-01	-2.714	CAT,CYBA,GSTP1,NCF2,NCF4,PRDX2,PRDX3,PRDX5,PRDX6,TXN,TXN2	
Gene and protein expression by JAK-STAT signaling after IL-12 stimulation	4.39E00	2.97E-01	0.905	ANXA2,CNN2,HNRNPA2B1,HNRNPDL,HSPA9,LCP1,LMNB1,PAK2,PSME2,RAP1B,RPLP0	
3-phosphoinositide Biosynthesis	4.38E00	1.54E-01	-0.784	ALPL,CDC25A,DUSP1,DUSP10,IPMK,ITPK1,NUDT1,PAWR,PIK3C3,PIK3CB,PIP4K2A,PIP5K1C,PPM1L,PPP1CA,PPP1CB,PPP1R11,PPP1R7,PPP2R5C,PPP3R1,PPP4C,PPP4R1,PRUNE1,PTEN,PTPN1,PTPN12,PTPRF,PTPRJ,RASA1,SACM1L,SET,SIRPA,SOCS3	
Neddylation	4.37E00	1.46E-01	-4.333	BIRC5,CDKN1A,COMMD2,COMMD6,COPS6,CUL5,DCAF11,ELOB,FBXL5,FEM1C,KLHL2,PSMA3,PSMA4,PSMA7,PSMB2,PSMB3,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMD3,PSMD7,PSMD8,PSME1,PSME2,PSME3,RBX1,SOCS3,UBC,UBE2D1,UBE2D3,UBE2F,UBE2M,UBXN7	
Sumoylation Pathway	4.37E00	1.94E-01	1.291	ARHGDIA,CTBP2,FOS,ISG20,JUN,MAP3K5,MYB,NFKBIA,PCNA,RAC2,RANGAP1,RHOG,RPA1,SENP6,SENP7,SERBP1,SP100,SP3,SUMO1,SUMO3	
IL-27 Signaling Pathway	4.36E00	1.8E-01	0.209	AKT3,B2M,C5AR1,CASP1,GZMB,IFNAR1,IFNGR2,IL18RAP,IRF1,LPAR6,MCL1,MYD88,NLRP3,PIK3C3,PIK3CB,PYCARD,RELB,RUNX1,SOCS3,STAT1,TLR1,TLR4,TNFRSF1A	
RAB geranylgeranylation	4.32E00	2.31E-01	0.775	RAB10,RAB11A,RAB13,RAB14,RAB20,RAB27A,RAB27B,RAB30,RAB31,RAB33B,RAB35,RAB37,RAB3C,RAB3D,RAB6A	
